category,model,spend,clicks,impressions,conv,revenue,date
제습기,AY18CG7500GND,0,0,7,0,0,0201-0228
제습기,AY18CG7500GND,0,0,1,0,0,0201-0228
제습기,AY18CG7500GND,0,0,2,0,0,0201-0228
제습기,AY18CG7500GND,847,1,21,0,0,0201-0228
제습기,AY18CG7500GND,2431,3,21,0,0,0201-0228
제습기,AY18CG7500GND,2046,3,49,0,0,0201-0228
제습기,AY18CG7500GND,0,0,4,0,0,0201-0228
제습기,AY18CG7500GND,858,1,10,0,0,0201-0228
제습기,AY18CG7500GND,770,1,13,0,0,0201-0228
제습기,AY18CG7500GND,1485,2,14,1,525000,0201-0228
제습기,AY18CG7500GND,0,0,10,0,0,0201-0228
제습기,AY18CG7500GND,0,0,5,0,0,0201-0228
제습기,AY18CG7500GND,0,0,1,0,0,0201-0228
제습기,AY18CG7500GND,517,1,3,0,0,0201-0228
제습기,AY18CG7500GND,0,0,20,0,0,0201-0228
제습기,AY18CG7500GND,0,0,1,0,0,0201-0228
제습기,AY18CG7500GND,0,0,3,0,0,0201-0228
제습기,AY18CG7500GND,0,0,8,0,0,0201-0228
제습기,AY18CG7500GND,0,0,2,0,0,0201-0228
제습기,AY18CG7500GND,0,0,1,0,0,0201-0228
제습기,AY18CG7500GND,792,1,3,0,0,0201-0228
제습기,AY18CG7500GND,0,0,2,0,0,0201-0228
제습기,AY18CG7500GND,0,0,1,0,0,0201-0228
제습기,AY18CG7500GND,0,0,3,0,0,0201-0228
제습기,AY18CG7500GND,0,0,4,0,0,0201-0228
제습기,AY18CG7500GND,1452,2,36,1,518000,0201-0228
제습기,AY18CG7500GND,1474,3,41,0,0,0201-0228
제습기,AY18CG7500GND,30041,40,339,0,0,0201-0228
제습기,AY18CG7500GND,869,4,48,0,0,0201-0228
제습기,AY18CG7500GND,0,0,2,0,0,0201-0228
제습기,AY18CG7500GND,0,0,4,0,0,0201-0228
제습기,AY18CG7500GND,1507,2,24,0,0,0201-0228
제습기,AY18CG7500GND,0,0,2,0,0,0201-0228
제습기,AY18CG7500GND,0,0,1,0,0,0201-0228
제습기,AY18CG7500GND,0,0,5,0,0,0201-0228
제습기,AY18CG7500GND,0,0,8,0,0,0201-0228
제습기,AY18CG7500GND,0,0,17,0,0,0201-0228
제습기,AY18CG7500GND,0,0,1,0,0,0201-0228
제습기,AY18CG7500GND,1353,2,5,0,0,0201-0228
제습기,AY18CG7500GND,2442,3,28,0,0,0201-0228
제습기,AY18CG7500GND,121,1,11,0,0,0201-0228
제습기,AY18CG7500GND,0,0,1,0,0,0201-0228
제습기,AY18CG7500GND,0,0,2,0,0,0201-0228
제습기,AY18CG7500GND,2475,3,10,0,0,0201-0228
제습기,AY18CG7500GND,0,0,1,0,0,0201-0228
제습기,AY18CG7500GND,0,0,3,0,0,0201-0228
제습기,AY18CG7500GND,715,1,41,0,0,0201-0228
제습기,AY18CG7500GND,0,0,3,0,0,0201-0228
제습기,AY18CG7500GND,0,0,3,0,0,0201-0228
제습기,AY18CG7500GND,0,0,1,0,0,0201-0228
제습기,AY18CG7500GND,0,0,3,0,0,0201-0228
제습기,AY18CG7500GND,0,0,2,0,0,0201-0228
제습기,AY18CG7500GND,0,0,4,0,0,0201-0228
제습기,AY18CG7500GND,0,0,7,0,0,0201-0228
제습기,AY18CG7500GND,880,1,87,0,0,0201-0228
제습기,AY18CG7500GND,0,0,4,0,0,0201-0228
제습기,AY18CG7500GND,4290,5,141,0,0,0201-0228
제습기,AY18CG7500GND,0,0,72,0,0,0201-0228
제습기,AY18CG7500GND,0,0,15,0,0,0201-0228
제습기,AY18CG7500GND,0,0,9,0,0,0201-0228
제습기,AY18CG7500GND,0,0,3,0,0,0201-0228
제습기,AY18CG7500GND,0,0,1,0,0,0201-0228
제습기,AY18CG7500GND,0,0,2,0,0,0201-0228
제습기,AY18CG7500GND,869,1,11,0,0,0201-0228
제습기,AY18CG7500GND,561,1,2,0,0,0201-0228
제습기,AY18CG7500GND,0,0,8,0,0,0201-0228
제습기,AY18CG7500GND,792,1,10,0,0,0201-0228
제습기,AY18CG7500GND,0,0,6,0,0,0201-0228
제습기,AY18CG7500GND,0,0,5,0,0,0201-0228
제습기,AY18CG7500GND,0,0,7,0,0,0201-0228
제습기,AY18CG7500GND,0,0,2,0,0,0201-0228
제습기,AY18CG7500GND,1518,2,8,0,0,0201-0228
제습기,AY18CG7500GND,0,0,1,0,0,0201-0228
제습기,AY18CG7500GND,858,1,27,0,0,0201-0228
제습기,AY18CG7500GND,0,0,2,0,0,0201-0228
제습기,AY18CG7500GND,858,1,35,0,0,0201-0228
제습기,AY18CG7500GND,2189,3,64,0,0,0201-0228
제습기,AY18CG7500GND,0,0,10,0,0,0201-0228
제습기,AY18CG7500GND,0,0,20,0,0,0201-0228
제습기,AY18CG7500GND,0,0,5,0,0,0201-0228
제습기,AY18CG7500GND,0,0,1,0,0,0201-0228
제습기,AY18CG7500GND,0,0,1,0,0,0201-0228
제습기,AY18CG7500GND,0,0,7,0,0,0201-0228
제습기,AY18CG7500GND,6457,9,48,0,0,0201-0228
제습기,AY18CG7500GND,132,1,9,0,0,0201-0228
제습기,AY18CG7500GND,0,0,1,0,0,0201-0228
제습기,AY18CG7500GND,0,0,2,0,0,0201-0228
제습기,AY18CG7500GND,792,1,2,0,0,0201-0228
제습기,AY18CG7500GND,0,0,1,0,0,0201-0228
제습기,AY18CG7500GND,880,1,19,0,0,0201-0228
제습기,AY18CG7500GND,0,0,11,0,0,0201-0228
제습기,AY18CG7500GND,770,1,7,0,0,0201-0228
제습기,AY18CG7500GND,0,0,1,0,0,0201-0228
제습기,AY18CG7500GND,792,1,3,0,0,0201-0228
제습기,AY18CG7500GND,0,0,8,0,0,0201-0228
제습기,AY18CG7500GND,0,0,6,0,0,0201-0228
제습기,AY18CG7500GND,0,0,9,0,0,0201-0228
